sep=,
2024-12-12 20:11:21,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:11:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:12:02,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:12:21,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:12:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:13:02,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:13:21,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:13:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:14:02,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:14:21,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:14:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:15:02,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:15:21,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:15:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:16:02,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:16:21,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:16:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:17:02,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:17:21,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:17:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:18:02,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:18:21,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:18:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:19:02,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:19:21,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:19:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:20:02,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:20:22,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:20:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:21:02,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:21:22,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:21:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:22:02,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:22:22,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:22:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:23:02,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:23:22,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:23:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:24:02,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:24:22,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:24:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:25:02,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:25:22,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:25:42,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:26:03,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:26:22,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:26:43,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:27:03,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:27:22,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:27:43,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:28:03,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:28:23,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:28:43,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:29:03,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:29:23,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:29:43,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:30:03,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:30:23,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:30:43,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:31:03,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:31:23,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:31:43,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:32:04,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:32:23,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:32:44,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:33:04,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:33:23,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:33:44,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:34:04,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:34:24,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:34:44,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:35:04,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:35:24,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:35:44,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:36:04,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:36:24,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:36:44,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:37:04,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:37:24,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:37:44,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:38:04,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:38:24,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:38:44,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:39:05,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:39:24,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:39:45,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:40:05,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:40:24,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:40:45,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:41:05,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:41:25,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:41:45,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:42:05,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:42:25,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:42:45,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:43:05,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:43:25,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:43:45,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:44:05,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:44:25,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:44:45,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:45:05,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:45:25,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:45:45,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:46:05,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:46:26,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:46:46,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:47:06,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:47:26,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:47:46,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:48:06,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:48:26,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:48:46,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:49:06,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:49:26,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:49:46,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:50:06,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:50:26,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:50:46,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:51:06,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:51:26,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:51:46,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:52:06,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:52:26,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:52:47,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:53:07,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:53:27,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:53:47,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:54:07,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:54:27,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:54:47,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:55:07,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:55:27,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:55:47,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:56:07,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:56:27,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:56:47,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:57:07,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:57:27,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:57:48,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:58:07,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:58:27,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:58:48,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:59:07,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:59:27,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:59:48,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:00:08,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:00:28,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:00:48,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:01:08,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:01:28,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:01:48,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:02:08,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:02:28,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:02:48,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:03:08,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:03:28,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:03:48,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:04:08,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:04:28,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:04:48,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:05:08,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:05:28,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:05:49,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:06:08,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:06:28,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:06:49,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:07:09,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:07:29,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:07:49,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:08:09,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:08:29,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:08:49,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:09:09,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:09:29,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:09:49,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:10:09,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:10:29,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:10:49,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:11:09,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:11:29,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:11:49,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:12:09,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:12:30,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:12:50,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:13:10,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:13:30,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:13:50,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:14:10,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:14:30,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:14:50,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:15:10,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:15:30,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:15:50,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:16:10,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:16:30,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:16:50,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:17:11,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:17:30,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:17:50,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:18:11,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:18:32,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:18:52,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:19:12,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:19:32,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:19:51,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:20:11,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:20:32,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:20:52,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:21:12,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:21:32,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:21:51,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:22:12,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:22:32,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:22:51,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:23:11,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:23:32,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:23:51,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:24:11,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:24:32,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:24:51,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:25:11,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:25:32,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:25:52,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:26:11,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:26:32,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:26:52,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:27:12,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:27:32,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:27:52,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:28:12,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:28:32,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:28:52,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:29:12,45.0 °,0 °,-45.0 °,0 °
2024-12-12 21:29:32,0 °,0 °,-45.0 °,0 °
2024-12-12 21:29:52,0 °,0 °,-45.0 °,0 °
2024-12-12 21:30:12,0 °,0 °,-45.0 °,0 °
2024-12-12 21:30:32,0 °,0 °,-45.0 °,0 °
2024-12-12 21:30:52,0 °,0 °,-45.0 °,0 °
2024-12-12 21:31:12,0 °,0 °,-45.0 °,0 °
2024-12-12 21:31:32,0 °,0 °,-45.0 °,0 °
2024-12-12 21:31:53,0 °,0 °,-45.0 °,0 °
2024-12-12 21:32:12,0 °,0 °,-45.0 °,0 °
2024-12-12 21:32:33,0 °,0 °,-45.0 °,0 °
2024-12-12 21:32:53,0 °,0 °,-45.0 °,0 °
2024-12-12 21:33:12,0 °,0 °,-45.0 °,0 °
2024-12-12 21:33:33,0 °,0 °,-45.0 °,0 °
2024-12-12 21:33:53,0 °,0 °,-45.0 °,0 °
2024-12-12 21:34:13,0 °,0 °,-45.0 °,0 °
2024-12-12 21:34:33,0 °,0 °,-45.0 °,0 °
2024-12-12 21:34:53,0 °,0 °,-45.0 °,0 °
2024-12-12 21:35:13,0 °,0 °,-45.0 °,0 °
2024-12-12 21:35:33,0 °,0 °,-45.0 °,0 °
2024-12-12 21:35:53,0 °,0 °,-45.0 °,0 °
2024-12-12 21:36:13,0 °,0 °,-45.0 °,0 °
2024-12-12 21:36:33,0 °,0 °,-45.0 °,0 °
2024-12-12 21:36:53,0 °,0 °,-45.0 °,0 °
2024-12-12 21:37:13,0 °,0 °,-45.0 °,0 °
2024-12-12 21:37:33,0 °,0 °,-45.0 °,0 °
2024-12-12 21:37:53,0 °,0 °,-45.0 °,0 °
2024-12-12 21:38:13,0 °,0 °,-45.0 °,0 °
2024-12-12 21:38:33,0 °,0 °,-45.0 °,0 °
2024-12-12 21:38:53,0 °,0 °,-45.0 °,0 °
2024-12-12 21:39:14,0 °,0 °,-45.0 °,0 °
2024-12-12 21:39:33,0 °,0 °,-45.0 °,0 °
2024-12-12 21:39:54,0 °,0 °,-45.0 °,0 °
2024-12-12 21:40:14,0 °,0 °,-45.0 °,0 °
2024-12-12 21:40:34,0 °,0 °,-45.0 °,0 °
2024-12-12 21:40:54,0 °,0 °,-45.0 °,0 °
2024-12-12 21:41:14,0 °,0 °,-45.0 °,0 °
2024-12-12 21:41:34,0 °,0 °,-45.0 °,0 °
2024-12-12 21:41:54,0 °,0 °,-45.0 °,0 °